bore_id,reg_id,state_id,lat,lon,my_depth_m,count,mean,std,min,25%,50%,75%,max,cv
43921,43921A,3,-23.9092198,150.1977228,14.25,60.0,1298.25,328.1261965272776,245.0,1000.0,1375.0,1600.0,1700.0,0.252745000213578
43925,43925A,3,-24.3747423,150.5315951,17.35,11.0,122.54545454545456,24.475962233847465,67.0,112.0,124.0,133.0,167.0,0.19972966214563953
43926,43926A,3,-24.374524,150.5310337,17.45,27.0,114.37037037037037,21.278642503238476,77.0,99.5,105.0,131.0,162.0,0.18605030686121726
45010,45010A,3,-14.8987559,141.6207807,64.45,14.0,194.5,11.188936843700017,170.0,192.0,194.5,200.0,220.0,0.05752666757686384
47024,47024A,3,-23.8783333,150.2313889,15.05,22.0,342.1363636363636,79.87925140607419,230.0,291.25,330.0,399.75,520.0,0.23347197169305597
47046,47046A,3,-23.974497,150.28726,13.7,11.0,971.6363636363636,225.56385912963665,650.0,830.0,910.0,1136.0,1366.0,0.23214843286171438
47188,47188A,3,-24.421732,150.428833,12.35,26.0,279.3076923076923,34.57833915128861,163.0,267.0,283.0,294.5,337.0,0.1238001677132338
47594,47594A,3,-23.8811111,150.2486111,13.6,20.0,196.95,26.88665292042053,160.0,173.75,197.5,205.0,270.0,0.13651512018492273
49382,49382A,3,-27.938262,148.372507,105.15,16.0,1051.6875,46.20493299782323,887.0,1057.5,1060.0,1060.0,1110.0,0.04393408973466284
49404,49404A,3,-27.9227642,148.3701751,110.05,16.0,888.8125,9.669324347302314,880.0,882.0,887.5,889.0,918.0,0.01087892479831496
51039,51039A,3,-21.9054346,139.9723065,57.0,15.0,45.266666666666666,27.447265454911552,27.0,29.5,31.0,43.5,109.0,0.6063460704325085
51145,51145A,3,-21.8946013,139.9734176,61.7,11.0,106.72727272727272,17.076831726587393,75.0,100.5,108.0,113.0,136.0,0.1600043858538853
51401,51401A,3,-23.6515276,146.6364437,22.5,19.0,347.94736842105266,123.81458973634308,136.0,255.0,360.0,465.0,495.0,0.35584286870224147
51402,51402A,3,-23.6533569,146.6388349,33.4,29.0,377.44827586206895,60.465212080345694,205.0,360.0,385.0,420.0,480.0,0.16019469672300612
51594,51594A,3,-23.607319,146.1275083,65.5,23.0,341.0434782608696,202.8475644106968,240.0,245.0,293.0,305.0,1140.0,0.5947850562781777
51881,51881A,3,-23.6464143,146.6359471,25.5,20.0,347.3,88.52897236141636,41.0,341.25,385.0,391.25,415.0,0.2549063413804099
51968,51968A,3,-23.6493357,146.6371754,30.5,26.0,336.3076923076923,96.11566749735206,43.0,326.25,352.5,390.0,425.0,0.285796815522776
53000,53000A,3,-24.8067706,152.4072674,38.4,18.0,495.8888888888889,70.62484889219765,388.0,428.75,505.0,550.0,620.0,0.14242071253187963
53133,53133A,3,-24.7942185,152.3619218,5.95,16.0,193.5625,115.88670832613492,4.0,136.0,160.0,277.5,415.0,0.5987043374937548
56069,56069A,3,-27.0305204,151.3206205,43.75,13.0,372.1538461538461,87.44221535185979,225.0,335.0,353.0,380.0,550.0,0.23496254641880476
